runtime,mos_tmax_f,actual_tmax_f
2015-01-01,38.0,39.02
2015-01-02,42.0,42.08
2015-01-03,44.0,42.08
2015-01-04,59.0,55.94
2015-01-05,36.0,48.92
2015-01-06,28.0,22.1
2015-01-07,22.0,23.18
2015-01-08,21.0,21.2
2015-01-09,32.0,33.08
2015-01-10,22.0,23.18
2015-01-11,35.0,37.04
2015-01-12,42.0,39.02
2015-01-13,28.0,35.96
2015-01-14,32.0,32.0
2015-01-15,34.0,35.06
2015-01-16,41.0,42.98
2015-01-17,27.0,32.0
2015-01-18,44.0,42.08
2015-01-19,44.0,42.08
2015-01-20,40.0,39.92
2015-01-21,33.0,35.96
2015-01-22,40.0,39.92
2015-01-23,38.0,39.02
2015-01-24,38.0,39.02
2015-01-25,43.0,42.08
2015-01-26,26.0,31.1
2015-01-27,28.0,30.2
2015-01-28,29.0,33.98
2015-01-29,32.0,35.96
2015-01-30,37.0,37.94
2015-01-31,22.0,26.24
2015-02-01,31.0,35.96
2015-02-02,39.0,33.98
2015-02-03,20.0,26.24
2015-02-04,38.0,42.98
2015-02-05,32.0,42.08
2015-02-06,24.0,27.14
2015-02-07,35.0,39.92
2015-02-08,38.0,37.04
2015-02-09,32.0,29.12
2015-02-10,33.0,39.92
2015-02-11,27.0,33.98
2015-02-12,37.0,39.92
2015-02-13,13.0,21.2
2015-02-14,30.0,32.0
2015-02-15,20.0,25.16
2015-02-16,19.0,21.2
2015-02-17,22.0,27.14
2015-02-18,24.0,33.08
2015-02-19,20.0,27.14
2015-02-20,13.0,19.22
2015-02-21,31.0,32.0
2015-02-22,43.0,42.98
2015-02-23,18.0,37.94
2015-02-24,18.0,24.26
2015-02-25,35.0,37.04
2015-02-26,23.0,32.0
2015-02-27,23.0,30.2
2015-02-28,22.0,29.12
2015-03-01,30.0,31.1
2015-03-02,40.0,39.02
2015-03-03,33.0,37.04
2015-03-04,43.0,44.96
2015-03-05,28.0,39.92
2015-03-06,20.0,27.14
2015-03-07,32.0,37.94
2015-03-08,45.0,48.92
2015-03-09,47.0,53.96
2015-03-10,45.0,53.06
2015-03-11,53.0,59.0
2015-03-12,47.0,46.94
2015-03-13,42.0,42.98
2015-03-14,49.0,51.08
2015-03-15,51.0,44.06
2015-03-16,49.0,51.98
2015-03-17,57.0,57.02
2015-03-18,40.0,39.02
2015-03-19,41.0,42.98
2015-03-20,38.0,37.94
2015-03-21,46.0,46.94
2015-03-22,38.0,42.98
2015-03-23,36.0,37.94
2015-03-24,41.0,44.96
2015-03-25,48.0,48.92
2015-03-26,55.0,62.06
2015-03-27,49.0,46.04
2015-03-28,40.0,39.92
2015-03-29,45.0,46.04
2015-03-30,52.0,53.96
2015-03-31,48.0,46.94
2015-04-01,50.0,51.08
2015-04-02,60.0,66.92
2015-04-03,63.0,64.04
2015-04-04,53.0,60.08
2015-04-05,55.0,60.98
2015-04-06,65.0,62.96
2015-04-07,56.0,62.06
2015-04-08,44.0,44.96
2015-04-09,45.0,42.98
2015-04-10,61.0,55.94
2015-04-11,59.0,57.02
2015-04-12,65.0,66.02
2015-04-13,67.0,68.0
2015-04-14,62.0,64.94
2015-04-15,67.0,71.96
2015-04-16,65.0,64.04
2015-04-17,64.0,71.06
2015-04-18,77.0,80.06
2015-04-19,60.0,64.04
2015-04-20,62.0,57.02
2015-04-21,64.0,64.94
2015-04-22,65.0,69.08
2015-04-23,53.0,51.98
2015-04-24,53.0,51.98
2015-04-25,59.0,62.06
2015-04-26,61.0,64.04
2015-04-27,61.0,62.06
2015-04-28,63.0,71.06
2015-04-29,72.0,78.08
2015-04-30,63.0,66.92
2015-05-01,59.0,62.96
2015-05-02,66.0,73.94
2015-05-03,75.0,80.06
2015-05-04,80.0,84.91999999999999
2015-05-05,77.0,84.91999999999999
2015-05-06,68.0,73.04
2015-05-07,76.0,80.06
2015-05-08,79.0,82.04
2015-05-09,72.0,69.98
2015-05-10,82.0,82.94
2015-05-11,81.0,84.02
2015-05-12,84.0,86.0
2015-05-13,66.0,69.98
2015-05-14,69.0,73.04
2015-05-15,72.0,75.02
2015-05-16,73.0,75.02
2015-05-17,80.0,82.94
2015-05-18,69.0,75.02
2015-05-19,76.0,80.06
2015-05-20,67.0,66.92
2015-05-21,61.0,62.06
2015-05-22,74.0,73.94
2015-05-23,63.0,69.98
2015-05-24,77.0,80.96
2015-05-25,82.0,84.91999999999999
2015-05-26,82.0,87.98
2015-05-27,80.0,84.91999999999999
2015-05-28,81.0,84.91999999999999
2015-05-29,79.0,84.91999999999999
2015-05-30,82.0,84.91999999999999
2015-05-31,79.0,87.08000000000001
2015-06-01,68.0,57.92
2015-06-02,57.0,55.04
2015-06-03,68.0,69.98
2015-06-04,66.0,64.94
2015-06-05,69.0,69.98
2015-06-06,73.0,75.92
2015-06-07,73.0,73.94
2015-06-08,76.0,78.98
2015-06-09,78.0,82.94
2015-06-10,82.0,82.04
2015-06-11,88.0,89.06
2015-06-12,84.0,87.98
2015-06-13,84.0,86.0
2015-06-14,84.0,87.98
2015-06-15,80.0,82.94
2015-06-16,84.0,78.98
2015-06-17,78.0,82.04
2015-06-18,73.0,71.06
2015-06-19,85.0,87.08000000000001
2015-06-20,72.0,75.02
2015-06-21,85.0,87.98
2015-06-22,88.0,87.08000000000001
2015-06-23,84.0,89.96000000000001
2015-06-24,84.0,84.02
2015-06-25,83.0,82.94
2015-06-26,79.0,80.96
2015-06-27,72.0,71.06
2015-06-28,77.0,73.04
2015-06-29,78.0,75.92
2015-06-30,82.0,82.04
2015-07-01,84.0,82.04
2015-07-02,82.0,80.06
2015-07-03,81.0,82.04
2015-07-04,72.0,75.02
2015-07-05,84.0,82.94
2015-07-06,83.0,82.94
2015-07-07,84.0,87.98
2015-07-08,83.0,87.98
2015-07-09,80.0,78.98
2015-07-10,86.0,84.02
2015-07-11,86.0,87.98
2015-07-12,89.0,89.06
2015-07-13,86.0,87.98
2015-07-14,84.0,82.04
2015-07-15,86.0,80.96
2015-07-16,80.0,80.06
2015-07-17,81.0,80.96
2015-07-18,83.0,84.91999999999999
2015-07-19,93.0,93.02
2015-07-20,91.0,93.92
2015-07-21,91.0,89.06
2015-07-22,85.0,84.91999999999999
2015-07-23,84.0,86.0
2015-07-24,84.0,87.08000000000001
2015-07-25,84.0,87.98
2015-07-26,86.0,89.96000000000001
2015-07-27,82.0,86.0
2015-07-28,90.0,95.0
2015-07-29,93.0,96.08
2015-07-30,85.0,87.08000000000001
2015-07-31,90.0,89.06
2015-08-01,90.0,89.06
2015-08-02,87.0,89.06
2015-08-03,90.0,89.96000000000001
2015-08-04,90.0,89.06
2015-08-05,87.0,87.08000000000001
2015-08-06,82.0,82.94
2015-08-07,83.0,84.02
2015-08-08,82.0,82.04
2015-08-09,82.0,84.91999999999999
2015-08-10,80.0,84.02
2015-08-11,78.0,80.96
2015-08-12,84.0,84.91999999999999
2015-08-13,82.0,82.94
2015-08-14,86.0,87.98
2015-08-15,89.0,91.94
2015-08-16,90.0,93.02
2015-08-17,92.0,95.0
2015-08-18,88.0,89.96000000000001
2015-08-19,86.0,87.08000000000001
2015-08-20,83.0,86.0
2015-08-21,83.0,87.08000000000001
2015-08-22,85.0,86.0
2015-08-23,82.0,84.91999999999999
2015-08-24,85.0,87.08000000000001
2015-08-25,86.0,89.96000000000001
2015-08-26,83.0,84.91999999999999
2015-08-27,80.0,82.04
2015-08-28,80.0,82.04
2015-08-29,83.0,87.08000000000001
2015-08-30,87.0,89.96000000000001
2015-08-31,90.0,91.04
2015-09-01,88.0,89.96000000000001
2015-09-02,89.0,91.04
2015-09-03,90.0,93.02
2015-09-04,81.0,84.91999999999999
2015-09-05,80.0,82.94
2015-09-06,83.0,87.08000000000001
2015-09-07,88.0,91.94
2015-09-08,91.0,96.98
2015-09-09,88.0,89.96000000000001
2015-09-10,78.0,78.98
2015-09-11,82.0,80.96
2015-09-12,78.0,78.98
2015-09-13,79.0,80.06
2015-09-14,76.0,77.0
2015-09-15,81.0,84.02
2015-09-16,86.0,87.98
2015-09-17,86.0,89.06
2015-09-18,84.0,87.08000000000001
2015-09-19,83.0,82.94
2015-09-20,78.0,78.98
2015-09-21,73.0,73.04
2015-09-22,72.0,71.06
2015-09-23,79.0,80.06
2015-09-24,79.0,82.04
2015-09-25,73.0,75.92
2015-09-26,70.0,71.96
2015-09-27,72.0,71.06
2015-09-28,80.0,78.08
2015-09-29,81.0,82.94
2015-09-30,73.0,78.98
2015-10-01,62.0,64.04
2015-10-02,53.0,57.02
2015-10-03,52.0,55.04
2015-10-04,57.0,62.96
2015-10-05,62.0,66.92
2015-10-06,71.0,73.04
2015-10-07,71.0,73.04
2015-10-08,70.0,71.96
2015-10-09,74.0,78.08
2015-10-10,62.0,64.94
2015-10-11,69.0,69.08
2015-10-12,74.0,77.0
2015-10-13,71.0,71.96
2015-10-14,68.0,69.08
2015-10-15,63.0,64.04
2015-10-16,66.0,64.04
2015-10-17,55.0,55.94
2015-10-18,48.0,50.0
2015-10-19,50.0,53.06
2015-10-20,67.0,69.98
2015-10-21,74.0,75.92
2015-10-22,72.0,75.02
2015-10-23,58.0,64.94
2015-10-24,53.0,57.02
2015-10-25,64.0,68.0
2015-10-26,57.0,57.92
2015-10-27,60.0,59.0
2015-10-28,63.0,69.08
2015-10-29,73.0,73.04
